primary_genre,app_count,avg_rating,median_installs
Action,295,4.246101694915254,1000000.0
Adventure,72,4.183333333333334,100000.0
Arcade,171,4.271929824561403,1000000.0
Board,38,4.273684210526316,100000.0
Card,44,4.072727272727272,100000.0
Casino,37,4.286486486486487,500000.0
Casual,27,4.444444444444445,10000000.0
Music,18,4.166666666666667,750000.0
Puzzle,24,4.533333333333333,10000000.0
Racing,86,4.1499999999999995,1000000.0
Role Playing,15,4.406666666666666,5000000.0
Simulation,12,4.383333333333334,10000000.0
Sports,6,4.533333333333333,55000000.0
Strategy,17,4.347058823529412,10000000.0
Trivia,28,4.039285714285714,100000.0
Word,22,4.340909090909091,3000000.0
